,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
577,148cde61-cdb6-41b4-beaa-b2846521af6e,RAJESH MURMU,https://play-lh.googleusercontent.com/a/ACg8ocIUWpUgURr7B1W9pG68SDfLcHURP5AspeyFDPGoixfD=mo,Good,5,0,7.1.5.596544668,2024-02-09 16:53:57,,,7.1.5.596544668
578,3de60fa1-bd78-4b51-96d5-41089ce449bf,JITEN NAYAK,https://play-lh.googleusercontent.com/a-/ALV-UjXNtL1m-DbpmjHauB7GO89_F3gvEaDMd59-EbFavLmsiRA,Gud,5,0,7.1.4.514959544,2024-02-09 16:51:46,,,7.1.4.514959544
579,6c1fd445-afed-4851-9358-e93cf4c826c5,Shaik Basha,https://play-lh.googleusercontent.com/a/ACg8ocLkxdRi_Fw6kCMY6GTVoMCEaD84OUOttlARHVRXqD2W=mo,Good,5,0,7.1.5.564353270,2024-02-09 16:50:43,,,7.1.5.564353270
580,510d43ac-09a6-4a2e-9e2a-7c9a632b0693,Ajay Sharma,https://play-lh.googleusercontent.com/a/ACg8ocKpod5hqlO7nRrVQGEX8Ayvs7pmxgfRCicslNx4MWku=mo,👍,5,0,7.1.5.596544668,2024-02-09 16:48:59,,,7.1.5.596544668
581,b84aabc8-2473-4f7a-bb25-dfe53fc36ea4,Chhotu Kumat,https://play-lh.googleusercontent.com/a/ACg8ocKht_01TaJXCCSpneQb1leayjoZsinc3Ddp3yiXQe97=mo,Chhotukumar,5,0,,2024-02-09 16:44:50,,,
582,d3d4bd42-2e31-45db-9b90-96ad794241b1,DJ Singh,https://play-lh.googleusercontent.com/a/ACg8ocKIMKNxwUnVjApCFuRRWkrmphjnSwhUlYKjievlWtsG=mo,Good,5,0,7.1.5.596544668,2024-02-09 16:39:39,,,7.1.5.596544668
583,26a8f102-ac00-4274-ada9-09a355f52f9d,Lavanyah photography,https://play-lh.googleusercontent.com/a-/ALV-UjU4jW1EOL7lmMS7dItLV2xkis34V3jhzD7z12ZxbYMEIrVH,Good for passengers,5,0,7.1.5.596544668,2024-02-09 16:38:45,,,7.1.5.596544668
584,b1310971-acd7-4a1a-801c-7f4e571335d3,Pradeep Bhardwaj,https://play-lh.googleusercontent.com/a-/ALV-UjVTwuPGGDkE3Obbb5JLViMUiqg-LtVCS6SzCR8FHmqUFeM,Very nice app and updated,5,0,7.1.5.596544668,2024-02-09 16:38:15,,,7.1.5.596544668
585,fcd18c10-fa9a-432d-8bce-63cae332fd84,Sanjib Rakesh,https://play-lh.googleusercontent.com/a-/ALV-UjUxHERTnXAk5tWaal_z4Xbp8XkKsHL_1MCESKFtMVveug,Proper information given it's app 👍 👌 👏,5,0,7.1.5.596544668,2024-02-09 16:34:14,,,7.1.5.596544668
586,8e048103-2443-4a1c-9416-2d90afc88b64,Sunita Padhi,https://play-lh.googleusercontent.com/a-/ALV-UjUGoHg7pkFRhQTxtXWyzDpvRjo0hj2QB5CBiQRa78ModsE,Good,5,0,7.1.5.596544668,2024-02-09 16:33:55,,,7.1.5.596544668
587,c825df9d-35c6-4c4c-b451-9d756279ed20,Sumathi P,https://play-lh.googleusercontent.com/a-/ALV-UjVQPIoyWYeADHwDSiQzdCwNU5lVVORWCCosrCs0TVTcEz8,Very useful,5,0,7.1.5.596544668,2024-02-09 16:30:57,,,7.1.5.596544668
588,9a570ca3-b558-4c99-ba14-5396c29530dc,Tijrana Kumar,https://play-lh.googleusercontent.com/a/ACg8ocLfu5ObrRIRX05ZEgoqjmeg5sCVVAFaVZXZz_eJjIGP=mo,excellent,5,0,,2024-02-09 16:28:01,,,
589,3093191f-5864-4c4e-bb6a-abb7767df3a4,Subrata Dey,https://play-lh.googleusercontent.com/a/ACg8ocKlv-eqtXL9lOAkJ-jzG1jbgfsDFKGvByjPM1D0OBLq=mo,So beautiful so elegant..jst looking like a wow,5,0,7.1.5.592479310,2024-02-09 16:17:07,,,7.1.5.592479310
590,a1259206-7b71-427e-a76e-b9e3cef83ba3,mohammed riazahmed,https://play-lh.googleusercontent.com/a/ACg8ocJw0eOiXLOa7J5NrGNfx2Kz7yjz12WCc7Jvi3U3WF9a=mo,Vgood,5,0,7.1.5.596544668,2024-02-09 16:13:40,,,7.1.5.596544668
591,90200099-de7b-43f5-a5c1-ad6929915605,Sivaji Meruga,https://play-lh.googleusercontent.com/a-/ALV-UjUTmmWooUCPqqZkAHytJ2Y2qVvDxuB6DcOzkg9kyEAQnVk,Always good,5,0,,2024-02-09 16:12:11,,,
